MatchID,Season,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeCorners,AwayCorners,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,HadStatError,HomeWin,AwayWin,Draw,Result,HomePoints,AwayPoints,ShotsDiff,ShotsOnTargetDiff,CornersDiff,FoulsDiff,YellowCardsDiff,RedCardsDiff,GoalDiff,HalfTimeGoalDiff,TotalGoals,HomeShotAccuracy,HomeConversion,AwayShotAccuracy,AwayConversion,ShotAccuracyDiff
31,2000/01,2000-09-05,Man United,Bradford,6,0,H,2,0,H,21.0,6.0,12.0,4.0,5,1,12,10,0,1,0,0,False,1,0,0,HomeWin,3,0,15.0,8.0,4,2,-1,0,6,2,6,0.5714285714285714,0.5,0.6666666666666666,0.0,-0.09523809523809523
32,2000/01,2000-09-05,Sunderland,West Ham,1,1,D,1,1,D,17.0,16.0,7.0,9.0,4,11,19,14,2,3,0,0,False,0,0,1,Draw,1,1,1.0,-2.0,-7,5,-1,0,0,0,2,0.4117647058823529,0.14285714285714285,0.5625,0.1111111111111111,-0.15073529411764708
33,2000/01,2000-09-05,Tottenham,Everton,3,2,H,1,2,A,11.0,11.0,7.0,6.0,7,5,11,10,1,2,0,0,False,1,0,0,HomeWin,3,0,0.0,1.0,2,1,-1,0,1,-1,5,0.6363636363636364,0.42857142857142855,0.5454545454545454,0.3333333333333333,0.09090909090909094
34,2000/01,2000-09-06,Charlton,Southampton,1,1,D,0,0,D,8.0,11.0,6.0,3.0,10,14,14,16,3,3,1,0,False,0,0,1,Draw,1,1,-3.0,3.0,-4,-2,0,1,0,0,2,0.75,0.16666666666666666,0.2727272727272727,0.3333333333333333,0.4772727272727273
35,2000/01,2000-09-06,Chelsea,Arsenal,2,2,D,1,0,H,12.0,13.0,5.0,5.0,7,6,16,22,3,1,0,0,False,0,0,1,Draw,1,1,-1.0,0.0,1,-6,2,0,0,1,4,0.4166666666666667,0.4,0.38461538461538464,0.4,0.03205128205128205
36,2000/01,2000-09-06,Coventry,Newcastle,0,2,A,0,1,A,13.0,13.0,3.0,6.0,6,8,11,18,1,1,0,0,False,0,1,0,AwayWin,0,3,0.0,-3.0,-2,-7,0,0,-2,-1,2,0.23076923076923078,0.0,0.46153846153846156,0.3333333333333333,-0.23076923076923078
37,2000/01,2000-09-06,Derby,Middlesbrough,3,3,D,0,1,A,9.0,5.0,5.0,4.0,11,5,8,10,3,2,0,0,False,0,0,1,Draw,1,1,4.0,1.0,6,-2,1,0,0,-1,6,0.5555555555555556,0.6,0.8,0.75,-0.24444444444444446
38,2000/01,2000-09-06,Leicester,Ipswich,2,1,H,0,0,D,12.0,7.0,6.0,3.0,6,2,12,13,1,1,0,0,False,1,0,0,HomeWin,3,0,5.0,3.0,4,-1,0,0,1,0,3,0.5,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.07142857142857145
39,2000/01,2000-09-06,Liverpool,Aston Villa,3,1,H,3,0,H,11.0,9.0,7.0,4.0,8,7,13,7,0,2,0,0,False,1,0,0,HomeWin,3,0,2.0,3.0,1,6,-2,0,2,3,4,0.6363636363636364,0.42857142857142855,0.4444444444444444,0.25,0.19191919191919193
40,2000/01,2000-09-09,Bradford,Arsenal,1,1,D,1,0,H,9.0,18.0,5.0,11.0,4,10,17,13,0,2,0,0,False,0,0,1,Draw,1,1,-9.0,-6.0,-6,4,-2,0,0,1,2,0.5555555555555556,0.2,0.6111111111111112,0.09090909090909091,-0.05555555555555558
41,2000/01,2000-09-09,Coventry,Leeds,0,0,D,0,0,D,9.0,11.0,1.0,5.0,6,6,15,14,2,2,0,0,False,0,0,1,Draw,1,1,-2.0,-4.0,0,1,0,0,0,0,0,0.1111111111111111,0.0,0.45454545454545453,0.0,-0.3434343434343434
42,2000/01,2000-09-09,Ipswich,Aston Villa,1,2,A,0,1,A,15.0,5.0,5.0,2.0,5,3,9,13,1,3,0,0,False,0,1,0,AwayWin,0,3,10.0,3.0,2,-4,-2,0,-1,-1,3,0.3333333333333333,0.2,0.4,1.0,-0.06666666666666671
43,2000/01,2000-09-09,Leicester,Southampton,1,0,H,0,0,D,17.0,9.0,6.0,5.0,10,6,6,9,0,0,0,0,False,1,0,0,HomeWin,3,0,8.0,1.0,4,-3,0,0,1,0,1,0.35294117647058826,0.16666666666666666,0.5555555555555556,0.0,-0.20261437908496732
44,2000/01,2000-09-09,Liverpool,Man City,3,2,H,1,0,H,14.0,9.0,8.0,7.0,9,4,17,17,3,4,0,0,False,1,0,0,HomeWin,3,0,5.0,1.0,5,0,-1,0,1,1,5,0.5714285714285714,0.375,0.7777777777777778,0.2857142857142857,-0.2063492063492064
45,2000/01,2000-09-09,Man United,Sunderland,3,0,H,1,0,H,15.0,5.0,7.0,1.0,4,4,18,14,1,3,0,0,False,1,0,0,HomeWin,3,0,10.0,6.0,0,4,-2,0,3,1,3,0.4666666666666667,0.42857142857142855,0.2,0.0,0.26666666666666666
46,2000/01,2000-09-09,Middlesbrough,Everton,1,2,A,1,0,H,9.0,12.0,5.0,9.0,7,7,16,5,3,0,0,0,False,0,1,0,AwayWin,0,3,-3.0,-4.0,0,11,3,0,-1,1,3,0.5555555555555556,0.2,0.75,0.2222222222222222,-0.19444444444444442
47,2000/01,2000-09-09,Newcastle,Chelsea,0,0,D,0,0,D,10.0,10.0,4.0,3.0,5,6,17,21,0,3,0,0,False,0,0,1,Draw,1,1,0.0,1.0,-1,-4,-3,0,0,0,0,0.4,0.0,0.3,0.0,0.10000000000000003
48,2000/01,2000-09-10,Derby,Charlton,2,2,D,2,0,H,12.0,10.0,6.0,6.0,4,11,17,12,3,1,0,0,False,0,0,1,Draw,1,1,2.0,0.0,-7,5,2,0,0,2,4,0.5,0.3333333333333333,0.6,0.3333333333333333,-0.09999999999999998
